//=======================================
// 1 = Monday, Thursday
// 2 = Tuesday, Friday
// 3 = Wednesday, Saturday
// 4 = Sunday
//=======================================

1
//	MobID	Map	X	Y	Stage	Boss	Name
//Stage 1
	512	69	233	50	0	0 //5
	512	69	233	50	0	0 //5
	512	69	233	50	0	0 //5
	512	69	233	50	0	0 //5
	512	69	233	50	0	0 //5
	513	69	235	43	0	0 //2
	513	69	235	43	0	0 //2
	514	69	241	45	0	0 //3
	514	69	241	45	0	0 //3
	514	69	241	45	0	0 //3
	512	69	239	36	0	0 //4
	512	69	239	36	0	0 //4
	512	69	239	36	0	0 //4
	512	69	239	36	0	0 //4
	513	69	230	37	0	0 //3
	513	69	230	37	0	0 //3
	513	69	230	37	0	0 //3
	514	69	224	35	0	0 //2
	514	69	224	35	0	0 //2
	512	69	225	41	0	0 //3
	512	69	225	41	0	0 //3
	512	69	225	41	0	0 //3
	513	69	232	42	0	0 //4
	513	69	232	42	0	0 //4
	513	69	232	42	0	0 //4
	513	69	232	42	0	0 //4
	514	69	234	33	0	0 //3
	514	69	234	33	0	0 //3
	514	69	234	33	0	0 //3
	526	69	229	51	0	0 //1
	526	69	238	51	0	0 //1
//Stage 2
	516	69	188	20	1	0 //2
	516	69	188	20	1	0 //2
	515	69	183	19	1	0 //3
	515	69	183	19	1	0 //3
	515	69	183	19	1	0 //3
	517	69	183	19	1	0 //4
	517	69	183	19	1	0 //4
	517	69	183	19	1	0 //4
	517	69	183	19	1	0 //4
	516	69	176	20	1	0 //3
	516	69	176	20	1	0 //3
	516	69	176	20	1	0 //3
	515	69	172	24	1	0 //2
	515	69	172	24	1	0 //2
	517	69	174	31	1	0 //3
	517	69	174	31	1	0 //3
	517	69	174	31	1	0 //3
	516	69	179	31	1	0 //4
	516	69	179	31	1	0 //4
	516	69	179	31	1	0 //4
	516	69	179	31	1	0 //4
	515	69	184	31	1	0 //3
	515	69	184	31	1	0 //3
	515	69	184	31	1	0 //3
	517	69	189	29	1	0 //2
	517	69	189	29	1	0 //2
	516	69	185	25	1	0 //3
	516	69	185	25	1	0 //3
	516	69	185	25	1	0 //3
	515	69	177	24	1	0 //4
	515	69	177	24	1	0 //4
	515	69	177	24	1	0 //4
//Stage 3
	516	69	181	93	2	0 //2
	516	69	181	93	2	0 //2
	515	69	183	92	2	0 //3
	515	69	183	92	2	0 //3
	515	69	183	92	2	0 //3
	517	69	183	92	2	0 //4
	517	69	183	92	2	0 //4
	517	69	183	92	2	0 //4
	517	69	183	92	2	0 //4
	516	69	176	93	2	0 //3
	516	69	176	93	2	0 //3
	516	69	176	93	2	0 //3
	515	69	172	95	2	0 //2
	515	69	172	95	2	0 //2
	517	69	174	98	2	0 //3
	517	69	174	98	2	0 //3
	517	69	174	98	2	0 //3
	516	69	179	98	2	0 //4
	516	69	179	98	2	0 //4
	516	69	179	98	2	0 //4
	516	69	179	98	2	0 //4
	515	69	184	98	2	0 //3
	515	69	184	98	2	0 //3
	515	69	184	98	2	0 //3
	517	69	189	96	2	0 //2
